<<<<<<< HEAD
Time,Frequency
0.391791383,155.7011726
0.401791383,150.6081782
0.411791383,148.5967719
0.421791383,147.7765376
0.431791383,148.3773946
0.441791383,133.7243306
0.451791383,131.8704602
0.461791383,131.704516
0.471791383,132.5046273
0.481791383,132.3470306
0.491791383,129.7268579
0.501791383,130.1386873
0.511791383,129.5019095
0.521791383,128.4402149
0.531791383,126.9594982
0.541791383,123.3682846
0.551791383,121.0625836
0.561791383,118.8759848
0.571791383,117.9352013
0.581791383,119.0963009
0.591791383,120.8623984
0.601791383,122.5990451
0.611791383,123.9491054
0.621791383,124.043805
0.631791383,122.2799127
0.641791383,119.1645689
0.651791383,117.4182137
0.661791383,118.0590857
0.671791383,117.6349025
0.681791383,118.2896814
0.691791383,122.7231384
0.701791383,126.1460847
0.711791383,123.5960423
0.721791383,118.6110162
0.731791383,115.042609
0.741791383,110.4827506
0.751791383,106.8381757
0.761791383,104.1413266
0.771791383,101.9364905
0.781791383,100.6196605
0.791791383,99.87105864
0.801791383,99.30467583
0.811791383,99.69915826
0.821791383,99.72158504
0.831791383,100.011862
0.841791383,97.15423092
0.851791383,97.63215073
0.861791383,102.3090653
0.871791383,97.32345134
0.881791383,103.45077
0.891791383,100.9181628
0.901791383,101.3924293
0.911791383,100.5663588
0.921791383,101.6756653
0.931791383,101.9998863
0.941791383,102.181817
0.951791383,102.9833393
0.961791383,103.954211
0.971791383,103.4476983
0.981791383,104.3371767
0.991791383,104.0792479
1.001791383,104.4356154
1.011791383,104.2445775
1.021791383,103.5895452
1.031791383,99.97979615
1.041791383,98.00761254
1.061791383,111.2177296
1.071791383,112.0299125
1.081791383,108.2696021
2.351791383,82.95601529
2.361791383,125.5982624
2.371791383,126.8135895
2.381791383,132.0850763
2.391791383,133.4377786
2.401791383,134.7842091
2.411791383,135.2466693
2.421791383,134.500089
2.431791383,133.2016582
2.441791383,133.8814112
2.451791383,137.445607
2.461791383,137.4620027
2.471791383,139.5913106
2.481791383,141.2300985
2.491791383,143.8571314
2.501791383,148.3775034
2.511791383,148.3336334
2.521791383,149.4162376
2.531791383,151.0115604
2.541791383,151.8757212
2.551791383,151.96709
2.561791383,151.3210474
2.571791383,150.0590754
2.581791383,147.568895
2.591791383,145.3669471
2.601791383,143.4433735
2.611791383,141.134642
2.621791383,137.2602705
2.631791383,134.7820166
2.641791383,132.8927348
2.651791383,131.0392441
2.661791383,129.3573462
2.671791383,127.2672227
2.681791383,125.213299
2.691791383,124.0126559
2.701791383,124.1620518
2.711791383,127.5601859
2.721791383,128.3191331
2.731791383,128.1417628
2.741791383,128.1033849
2.751791383,128.5651729
2.761791383,127.9212696
2.771791383,127.5552785
2.781791383,129.1984515
2.791791383,130.3699032
2.801791383,129.1724541
2.811791383,129.0999587
2.821791383,128.960744
2.831791383,129.0142324
2.841791383,129.161143
2.851791383,130.3541959
2.861791383,129.107188
2.871791383,126.0431742
2.881791383,124.5024194
2.891791383,121.7443672
2.901791383,118.7494471
2.911791383,114.783273
2.921791383,111.1536824
2.931791383,109.5591194
2.941791383,107.6020711
2.951791383,107.7749517
2.961791383,107.1509157
2.971791383,106.9967072
2.981791383,106.9947391
2.991791383,105.6533456
3.001791383,103.5836636
3.011791383,99.60289164
3.021791383,100.0282887
3.031791383,106.003878
3.041791383,107.1981851
3.051791383,107.6889197
3.061791383,108.6928046
3.071791383,109.4508993
3.081791383,110.5143911
3.091791383,110.63091
3.101791383,110.2367736
3.111791383,108.5498996
