tier_name,tier_type,start_time,end_time,text
tones,TextTier,0.4580124254193402,0.4580124254193402,H*
tones,TextTier,0.7682385120094456,0.7682385120094456,!H
tones,TextTier,1.1160596739089645,1.1160596739089645,H-
tones,TextTier,1.5252655259109158,1.5252655259109158,H*
tones,TextTier,2.1335444951030054,2.1335444951030054,H!
tones,TextTier,2.750786776917386,2.750786776917386,H-H%
tones,TextTier,3.0653703306279,3.0653703306279,H*
tones,TextTier,3.3750396240347817,3.3750396240347817,!H
tones,TextTier,3.7787729524882696,3.7787729524882696,L
tones,TextTier,4.210792453362212,4.210792453362212,L-L%
tones,TextTier,4.770761756975035,4.770761756975035,H*
tones,TextTier,5.0600331992699505,5.0600331992699505,H-
tones,TextTier,5.395630152599636,5.395630152599636,H*
tones,TextTier,5.717112515272459,5.717112515272459,H-
tones,TextTier,5.894942008630324,5.894942008630324,L*
tones,TextTier,6.145442256311477,6.145442256311477,L-L%
tones,TextTier,6.634749329740796,6.634749329740796,H*
tones,TextTier,6.836103437143603,6.836103437143603,H-
tones,TextTier,7.135234976976351,7.135234976976351,H*
tones,TextTier,7.2782502666032345,7.2782502666032345,H-
tones,TextTier,7.523184673908965,7.523184673908965,H*
tones,TextTier,8.096202971615797,8.096202971615797,L-L%
beats,TextTier,0.4580124254193402,0.4580124254193402,B
beats,TextTier,0.7682385120094456,0.7682385120094456,B
beats,TextTier,1.5252655259109158,1.5252655259109158,B
beats,TextTier,2.1335444951030054,2.1335444951030054,B
beats,TextTier,3.0653703306279,3.0653703306279,B
beats,TextTier,3.3750396240347817,3.3750396240347817,B
beats,TextTier,3.7787729524882696,3.7787729524882696,B
beats,TextTier,4.770761756975035,4.770761756975035,B
beats,TextTier,5.395630152599636,5.395630152599636,B
beats,TextTier,5.894942008630324,5.894942008630324,B
beats,TextTier,6.634749329740796,6.634749329740796,B
beats,TextTier,7.135234976976351,7.135234976976351,B
beats,TextTier,7.523184673908965,7.523184673908965,B
words,IntervalTier,0.11632858472041245,0.6845389674280181,so
words,IntervalTier,0.6845389674280181,1.123440807378463,much
words,IntervalTier,1.123440807378463,1.808011855446969,depends
words,IntervalTier,1.808011855446969,2.2779353065230574,upon
words,IntervalTier,2.2779353065230574,2.750786776917386,a
words,IntervalTier,2.750786776917386,2.9580431032265886,the
words,IntervalTier,2.9580431032265886,3.2666247446202905,red
words,IntervalTier,3.2666247446202905,3.6458270601637937,wheel
words,IntervalTier,3.6458270601637937,4.210792453362212,barrow
words,IntervalTier,4.210792453362212,4.619164177793678,<sil>
words,IntervalTier,4.619164177793678,5.0600331992699505,glazed
words,IntervalTier,5.0600331992699505,5.2335144205509865,with
words,IntervalTier,5.2335144205509865,5.717112515272459,rain
words,IntervalTier,5.717112515272459,6.145442256311477,water
words,IntervalTier,6.145442256311477,6.836103437143603,beside
words,IntervalTier,6.836103437143603,7.000373266144229,the
words,IntervalTier,7.000373266144229,7.2782502666032345,white
words,IntervalTier,7.2782502666032345,8.096202971615797,chickens
breaks,TextTier,0.6845389674280181,0.6845389674280181,1
breaks,TextTier,1.123440807378463,1.123440807378463,3
breaks,TextTier,1.808011855446969,1.808011855446969,0
breaks,TextTier,2.2779353065230574,2.2779353065230574,0
breaks,TextTier,2.750786776917386,2.750786776917386,4
breaks,TextTier,2.9580431032265886,2.9580431032265886,1
breaks,TextTier,3.2666247446202905,3.2666247446202905,1
breaks,TextTier,3.6458270601637937,3.6458270601637937,1
breaks,TextTier,4.210792453362212,4.210792453362212,4
breaks,TextTier,5.0600331992699505,5.0600331992699505,3
breaks,TextTier,5.2335144205509865,5.2335144205509865,1
breaks,TextTier,5.717112515272459,5.717112515272459,3
breaks,TextTier,6.145442256311477,6.145442256311477,4
breaks,TextTier,6.836103437143603,6.836103437143603,3
breaks,TextTier,7.000373266144229,7.000373266144229,1
breaks,TextTier,7.2782502666032345,7.2782502666032345,3
breaks,TextTier,8.096202971615797,8.096202971615797,4
misc,TextTier,0.7682385120094456,0.7682385120094456,offbeat (o) or demotion(O)
misc,TextTier,2.750786776917386,2.750786776917386,<H% rises>
misc,TextTier,3.3750396240347817,3.3750396240347817,demotion(O)
misc,TextTier,6.147135090792526,6.147135090792526,[B]
